"PVWatts: Hourly PV Performance Data"
"Requested Location:","sioux falls"
"Location:","Lat, Lon: 43.49, -96.74"
"Lat (deg N):","43.49"
"Long (deg W):","96.74"
"Elev (m):","447.35998535156"
"DC System Size (kW):","500"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.104"
"Capacity Factor (%)","15.9"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"4","9","18","9","30","4","2","28.666","3.128","13414.14","10615.267"
"4","9","19","0","0","3","2","0","3","0","0"
"4","9","20","0","0","2","3","0","2","0","0"
"4","9","21","0","0","1","3","0","1","0","0"
"4","9","22","0","0","0","3","0","0","0","0"
"4","9","23","0","0","0","3","0","0","0","0"
"4","10","0","0","0","0","3","0","0","0","0"
"4","10","1","0","0","-1","3","0","-1","0","0"
"4","10","2","0","0","-1","3","0","-1","0","0"
"4","10","3","0","0","-2","3","0","-2","0","0"
"4","10","4","0","0","-2","3","0","-2","0","0"
"4","10","5","0","0","-2","3","0","-2","0","0"
"4","10","6","125","35","-1","3","41.14","-1.934","17179.18","14308.311"
"4","10","7","216","109","1","4","175.115","3.311","77422.555","73256.313"
"4","10","8","490","147","4","3","413.281","12.831","182164.313","175103.344"
"4","10","9","559","188","6","3","603.163","20.008","263076.813","253221.156"
"4","10","10","528","253","8","3","731.335","25.47","312960.938","301139.719"
"4","10","11","532","293","9","3","829.284","29.038","349384.781","336011.469"
"4","10","12","573","294","10","3","887.345","31.579","369367.594","355100.875"
"4","10","13","566","280","10","2","845.01","33.518","348352.25","335024.313"
"4","10","14","275","335","9","2","591.383","25.923","252657.063","243188.625"
"4","10","15","14","209","9","1","212.44","16.7","94766.023","90176.828"
"4","10","16","34","175","8","0","189.986","15.506","84857.711","80512.891"
"4","10","17","55","107","7","0","119.493","11.359","53234.121","49620.414"
"4","10","18","0","28","6","0","26.413","4.756","12426.807","9646.639"
"4","10","19","0","0","5","0","0","5","0","0"
"4","10","20","0","0","4","1","0","4","0","0"
"4","10","21","0","0","2","1","0","2","0","0"
"4","10","22","0","0","1","1","0","1","0","0"
"4","10","23","0","0","0","1","0","0","0","0"
"4","11","0","0","0","0","1","0","0","0","0"
"4","11","1","0","0","0","1","0","0","0","0"
"4","11","2","0","0","-1","1","0","-1","0","0"
"4","11","3","0","0","-2","1","0","-2","0","0"
"4","11","4","0","0","-2","1","0","-2","0","0"
"4","11","5","0","0","-1","1","0","-1","0","0"
"4","11","6","265","39","1","2","55.152","0.317","20528.498","17592.695"
"4","11","7","590","79","3","3","264.362","7.845","108176.578","103245"
"4","11","8","744","102","7","3","504.226","18.231","215414.234","207263.766"
"4","11","9","827","117","10","4","722.259","25.397","306701.063","295136.688"
"4","11","10","872","128","12","4","894.083","31.46","371615.813","357246.719"
"4","11","11","893","135","13","4","1001.095","35.024","409631.938","393474.844"
"4","11","12","881","147","14","4","1028.867","36.778","417465.063","400926.219"
"4","11","13","877","141","15","5","988.429","34.576","405323.063","389374.031"
"4","11","14","838","140","15","5","870.298","32.238","360288.063","346430.938"
"4","11","15","456","224","15","5","562.382","26.088","238565.891","229608.266"
"4","11","16","385","166","14","4","372.512","21.885","157972.063","151652.156"
"4","11","17","0","73","11","3","69.442","11.932","31664.389","28506.697"
"4","11","18","0","31","8","2","29.137","6.928","13580.498","10778.465"
"4","11","19","0","0","7","2","0","7","0","0"
"4","11","20","0","0","7","3","0","7","0","0"
"4","11","21","0","0","6","4","0","6","0","0"
"4","11","22","0","0","5","4","0","5","0","0"
"4","11","23","0","0","4","4","0","4","0","0"
"4","12","0","0","0","4","3","0","4","0","0"
"4","12","1","0","0","3","3","0","3","0","0"
"4","12","2","0","0","2","2","0","2","0","0"
"4","12","3","0","0","2","2","0","2","0","0"
"4","12","4","0","0","2","2","0","2","0","0"
"4","12","5","0","0","2","3","0","2","0","0"
"4","12","6","0","15","3","3","14.201","1.42","6776.709","4102.191"
"4","12","7","38","112","5","4","120.254","6.044","55326.508","51666.723"
"4","12","8","253","196","7","4","336.125","13.11","149690.625","143614.406"
"4","12","9","199","285","8","4","435.849","16.792","193725.656","186295.188"
"4","12","10","86","342","9","5","421.753","16.594","188259.359","181004.828"
"4","12","11","89","385","9","5","479.09","17.693","212867.453","204803.344"
"4","12","12","149","413","9","5","582.001","19.799","256128.563","246532.016"
"4","12","13","67","370","9","4","441.691","18.454","195572.859","188082.422"
"4","12","14","24","276","9","4","290.048","14.798","130552.828","125020.203"
"4","12","15","22","227","9","4","235.94","13.266","106858.672","101961.336"
"4","12","16","61","189","8","3","217.78","12.192","98465.492","93783.18"
"4","12","17","115","112","7","1","143.538","10.445","62978.059","59147.004"
"4","12","18","0","30","5","1","28.278","4.064","13343.83","10546.29"
"4","12","19","0","0","4","1","0","4","0","0"
"4","12","20","0","0","4","1","0","4","0","0"
"4","12","21","0","0","4","1","0","4","0","0"
"4","12","22","0","0","3","2","0","3","0","0"
"4","12","23","0","0","2","1","0","2","0","0"
"4","13","0","0","0","2","1","0","2","0","0"
"4","13","1","0","0","2","0","0","2","0","0"
"4","13","2","0","0","2","0","0","2","0","0"
"4","13","3","0","0","2","0","0","2","0","0"
"4","13","4","0","0","2","0","0","2","0","0"
"4","13","5","0","0","2","0","0","2","0","0"
"4","13","6","0","33","4","0","31.2","0.909","14921.024","12093.462"
"4","13","7","96","120","5","0","148.219","8.459","66301.109","62394.313"
"4","13","8","28","181","7","0","193.27","13.919","87050.969","82652.68"
"4","13","9","262","280","9","0","482.907","27.261","204343.391","196564.813"
"4","13","10","592","239","11","1","774.328","35.142","316276.25","304317.844"
"4","13","11","516","306","12","1","830.01","38.897","333191.156","320520.094"
"4","13","12","521","320","13","1","865.985","41.064","343905.219","330771.719"
"4","13","13","626","263","14","2","887.069","38.299","357137.438","343421.063"
"4","13","14","157","354","14","2","502.481","28.581","212070.734","204033.531"
"4","13","15","85","275","14","2","335.685","22.931","145277.734","139329.266"
"4","13","16","743","99","13","2","490.39","25.496","201912.203","194214.078"
